Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
14975340,Processing: Creative Coding and Generative Art in Processing 2,Ira Greenberg,"Greenberg, Ira","Dianna Xu, Deepak Kumar","=""143024464X""","=""9781430244646""",0,3.87,Apress,Paperback,472,2013,2012,,2016/09/21,"to-read, to-buy, programming","to-read (#34), to-buy (#10), programming (#22)",to-read,,,,0,,,0,,,,,
237893,High Score!: The Illustrated History of Electronic Games,Rusel DeMaria,"DeMaria, Rusel",Johnny L. Wilson,"=""0072224282""","=""0783254039872""",0,3.93,McGraw-Hill/Osborne Media,Paperback,328,2002,2002,,2016/09/13,"to-buy, computer-history, to-read, paper","to-buy (#9), computer-history (#7), to-read (#53), paper (#4)",to-read,,,,0,,,0,,,,,
31913646,Eniac: The Triumphs and Tragedies of the World's First Computer,Scott McCartney,"McCartney, Scott",,"=""""","=""""",3,3.77,"Blackstone Audio, Inc.",Audible Audio,,2000,1999,2016/12/11,2016/09/13,"computer-history, audio","computer-history (#3), audio (#2)",read,,,,1,,,0,,,,,
5435210,Racing the Beam: The Atari Video Computer System,Nick Montfort,"Montfort, Nick",Ian Bogost,"=""026201257X""","=""9780262012577""",0,4.08,MIT Press (MA),Hardcover,180,2009,2009,,2016/09/13,"to-read, to-buy, computer-history","to-read (#33), to-buy (#8), computer-history (#17)",to-read,,,,0,,,0,,,,,
434706,The Success of Open Source,Steven Weber,"Weber, Steven",,"=""0674018583""","=""9780674018587""",0,3.89,Harvard University Press,Paperback,312,2005,2004,,2016/09/13,"to-read, to-buy","to-read (#32), to-buy (#7)",to-read,,,,0,,,0,,,,,
722412,The Dream Machine: J.C.R. Licklider and the Revolution That Made Computing Personal,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""014200135X""","=""9780142001356""",0,4.38,Penguin Books,Paperback,512,2002,2001,,2016/09/13,"to-read, to-buy, computer-history","to-read (#31), to-buy (#6), computer-history (#6)",to-read,,,,0,,,0,,,,,
281818,Where Wizards Stay Up Late: The Origins of the Internet,Katie  Hafner,"Hafner, Katie",Matthew Lyon,"=""0684832674""","=""9780684832678""",4,3.90,Simon & Schuster,Paperback,304,1998,1996,,2016/09/13,"networking, computer-history, paper","networking (#8), computer-history (#13), paper (#3)",read,,,,1,,,0,,,,,
44874,Code: Version 2.0,Lawrence Lessig,"Lessig, Lawrence",,"=""0465039146""","=""9780465039142""",0,3.94,Basic Books,Paperback,416,2006,1999,,2016/09/13,to-read,to-read (#30),to-read,,,,0,,,0,,,,,
14721,The Wealth of Networks: How Social Production Transforms Markets and Freedom,Yochai Benkler,"Benkler, Yochai",,"=""0300110561""","=""9780300110562""",0,3.95,Yale University Press,Hardcover,528,2006,2006,,2016/09/13,"to-read, to-buy, networking","to-read (#29), to-buy (#5), networking (#3)",to-read,,,,0,,,0,,,,,
1753166,Delay- And Disruption- Tolerant Networking,Stephen Farrell,"Farrell, Stephen",Vinny Cahill,"=""1596930632""","=""9781596930636""",4,4.00,Artech House Publishers,Hardcover,226,2006,2006,,2016/09/13,"networking, paper","networking (#6), paper (#14)",read,,,,1,,,0,,,,,
13054822,Delay Tolerant Networks: Protocols and Applications,Athanasios V. Vasilakos,"Vasilakos, Athanasios V.","Yan Zhang, Thrasyvoulos Spyropoulos","=""1439811083""","=""9781439811085""",4,4.00,CRC Press,Hardcover,364,2011,2011,,2016/09/13,"networking, paper","networking (#5), paper (#13)",read,,,,1,,,0,,,,,
996998,X3D: Extensible 3D Graphics for Web Authors: Extensible 3D Graphics for Web Authors Vol 1 (The Morgan Kaufmann Series in Computer Graphics),Don Brutzman,"Brutzman, Don",Leonard Daly,"=""012088500X""","=""9780120885008""",3,3.50,Morgan Kaufmann,Paperback,441,2007,2007,,2016/09/13,"web-dev, programming, paper","web-dev (#22), programming (#35), paper (#12)",read,,,,1,,,0,,,,,
13488507,The Future Was Here: The Commodore Amiga,Jimmy Maher,"Maher, Jimmy",,"=""0262017202""","=""9780262017206""",0,3.92,MIT Press,Hardcover,328,2012,2012,,2016/09/13,"to-read, to-buy, computer-history","to-read (#28), to-buy (#4), computer-history (#16)",to-read,,,,0,,,0,,,,,
13595478,Commodore: The Amiga Years,Brian  Bagnall,"Bagnall, Brian",,"=""0973864990""","=""9780973864991""",0,4.00,Variant Press,Hardcover,540,2013,2012,,2016/09/13,"to-read, to-buy, computer-history","to-read (#27), to-buy (#3), computer-history (#15)",to-read,,,,0,,,0,,,,,
20434467,Commodore: A Company on the Edge,Brian  Bagnall,"Bagnall, Brian",,"=""""","=""""",4,4.16,Variant Press,Kindle Edition,548,2012,2011,,2016/09/13,"computer-history, paper","computer-history (#2), paper (#2)",read,,,,1,,,0,,,,,
412006,On the Edge: The Spectacular Rise and Fall of Commodore,Brian  Bagnall,"Bagnall, Brian",,"=""0973864907""","=""9780973864908""",4,4.19,Variant Press,Hardcover,548,2006,2005,,2016/09/13,"computer-history, paper","computer-history (#1), paper (#1)",read,,,,1,,,0,,,,,
1427580,Fire in the Valley: The Making of the Personal Computer,Paul Freiberger,"Freiberger, Paul",Michael Swaine,"=""0071358927""","=""9780071358927""",0,4.12,McGraw-Hill,Paperback,463,1999,1984,,2016/09/13,"to-buy, computer-history, to-read","to-buy (#2), computer-history (#12), to-read (#52)",to-read,,,,0,,,0,,,,,
23258925,The Boy Who Could Change the World: The Writings of Aaron Swartz,Aaron Swartz,"Swartz, Aaron",Lawrence Lessig,"=""162097066X""","=""9781620970669""",5,4.22,New Press,Paperback,359,2016,2015,,2016/09/13,,,read,,,,1,,,0,,,,,
638812,"Fumbling the Future: How Xerox Invented, Then Ignored, the First Personal Computer",Douglas K. Smith,"Smith, Douglas K.",Robert C. Alexander,"=""1583482660""","=""9781583482667""",4,3.87,iUniverse,Paperback,276,1999,1988,,2016/09/13,computer-history,computer-history (#5),read,,,,1,,,0,,,,,
1101290,Dealers of Lightning: Xerox PARC and the Dawn of the Computer Age,Michael A. Hiltzik,"Hiltzik, Michael A.",,"=""0887309895""","=""9780887309892""",0,4.12,HarperBusiness,Paperback,480,2000,1999,,2016/09/13,"to-buy, computer-history, to-read","to-buy (#1), computer-history (#11), to-read (#51)",to-read,,,,0,,,0,,,,,
10260609,CMS Design Using PHP and Jquery,Kae Verens,"Verens, Kae",,"=""1849512523""","=""9781849512527""",0,2.25,Packt Publishing,Paperback,340,2010,2010,,2016/09/13,"to-read, programming, web-dev","to-read (#26), programming (#3), web-dev (#2)",to-read,,,,0,,,0,,,,,
18604813,Getting Started with Webrtc,Rob Manson,"Manson, Rob",,"=""1782166300""","=""9781782166306""",0,4.21,Packt Publishing,Paperback,114,2013,2013,,2016/09/13,"to-read, programming","to-read (#25), programming (#6)",to-read,,,,0,,,0,,,,,
12652868,Html5 Games Development by Example: Beginner's Guide,Makzan,"Makzan, Makzan",,"=""1849691266""","=""9781849691260""",0,3.50,Packt Publishing,Paperback,352,2011,2011,,2016/09/13,,,read,,,,1,,,0,,,,,
11559195,Html5 Multimedia Development Cookbook,Dale Cruse,"Cruse, Dale",Lee Jordan,"=""1849691045""","=""9781849691048""",0,4.25,Packt Publishing,Paperback,288,2011,2011,,2016/09/13,"to-read, web-dev, programming","to-read (#24), web-dev (#5), programming (#9)",to-read,,,,0,,,0,,,,,
10370134,Linux Shell Scripting Cookbook,Shantanu Tushar,"Tushar, Shantanu",Sarath Lakshman,"=""1849513767""","=""9781849513760""",0,3.61,Packt Publishing,Paperback,360,2011,2011,,2016/09/13,"to-read, programming","to-read (#23), programming (#13)",to-read,,,,0,,,0,,,,,
11968259,OpenVPN 2 Cookbook,Jan Just Keijser,"Keijser, Jan Just",,"=""1849510105""","=""9781849510103""",0,3.38,PACKT PUBLISHING,Paperback,356,2011,2011,,2016/09/13,"to-read, networking","to-read (#22), networking (#2)",to-read,,,,0,,,0,,,,,
848667,Sky Galleons of Mars & Cloudships & Gunboats,Frank Chadwick,"Chadwick, Frank",Tim Bradstreet,"=""1930658044""","=""9781930658042""",0,3.67,Heliograph,Paperback,124,2000,2000,,2016/09/13,"to-read, rpg","to-read (#21), rpg (#8)",to-read,,,,0,,,0,,,,,
1185103,Ironclads & Ether Flyers: Aeronaval Combat for Space: 1889,Frank Chadwick,"Chadwick, Frank",,"=""1930658052""","=""9781930658059""",0,4.25,Heliograph,Paperback,112,2000,1990,,2016/09/13,"to-read, rpg","to-read (#20), rpg (#7)",to-read,,,,0,,,0,,,,,
17087601,Html5 Graphics & Data Visualization Cookbook,Ben Fhala,"Fhala, Ben",,"=""1849693706""","=""9781849693707""",0,4.17,Packt Publishing,Paperback,330,2012,2012,,2016/09/13,"to-read, programming, web-dev","to-read (#19), programming (#8), web-dev (#4)",to-read,,,,0,,,0,,,,,
14499738,Android Ndk Beginner's Guide,Sylvain Ratabouil,"Ratabouil, Sylvain",,"=""1849691525""","=""9781849691529""",0,3.62,Packt Publishing,Paperback,436,2012,2012,,2016/09/13,"to-read, programming","to-read (#18), programming (#1)",to-read,,,,0,,,0,,,,,
17716149,Jquery Hotshot,Dan Wellman,"Wellman, Dan",,"=""1849519102""","=""9781849519106""",0,4.60,Packt Publishing,Paperback,296,2013,2013,,2016/09/13,"to-read, programming, web-dev","to-read (#17), programming (#10), web-dev (#6)",to-read,,,,0,,,0,,,,,
17218323,Learning Highcharts,Joe Kuan,"Kuan, Joe",,"=""1849519080""","=""9781849519083""",0,4.33,Packt Publishing,Paperback,362,2012,2012,,2016/09/13,"to-read, programming, web-dev","to-read (#16), programming (#11), web-dev (#7)",to-read,,,,0,,,0,,,,,
16110523,WordPress Plugin Development Cookbook,Yannick Lefebvre,"Lefebvre, Yannick",,"=""1849517681""","=""9781849517683""",0,4.33,Packt Publishing,Paperback,299,2012,2012,,2016/09/13,"to-read, programming, web-dev","to-read (#15), programming (#27), web-dev (#15)",to-read,,,,0,,,0,,,,,
14498589,Mastering Phpmyadmin 3.4 for Effective MySQL Management,Marc DeLisle,"DeLisle, Marc",,"=""1849517789""","=""9781849517782""",0,4.20,Packt Publishing,Paperback,394,2012,2012,,2016/09/13,"to-read, programming, web-dev","to-read (#14), programming (#15), web-dev (#8)",to-read,,,,0,,,0,,,,,
15902518,Node Cookbook,David Mark Clements,"Clements, David Mark",,"=""1849517185""","=""9781849517188""",0,4.08,Packt Publishing,Paperback,342,2012,2012,,2016/09/13,"to-read, programming, web-dev","to-read (#13), programming (#16), web-dev (#9)",to-read,,,,0,,,0,,,,,
15957449,Blender Game Engine: Beginner's Guide,Victor Kuller Bacone,"Bacone, Victor Kuller",,"=""1849517029""","=""9781849517027""",0,2.50,Packt,Paperback,190,2012,2012,,2016/09/13,"to-read, 3d-modelling, game-dev","to-read (#12), 3d-modelling (#2), game-dev (#1)",to-read,,,,0,,,0,,,,,
16389595,Openlayers 2.10 Beginner's Guide,Erik Hazzard,"Hazzard, Erik",,"=""1849514135""","=""9781849514132""",0,3.65,Packt Publishing,ebook,372,2011,2011,,2016/09/13,"programming, web-dev","programming (#31), web-dev (#18)",read,,,,1,,,0,,,,,
13591035,PHP Ajax Cookbook,Milan Sedliak,"Sedliak, Milan","R. Rajesh Jeba Anbiah, Roshan Bhattarai","=""1849513082""","=""9781849513081""",0,3.57,Packt Publishing,ebook,340,2011,2011,,2016/09/13,"to-read, programming, web-dev","to-read (#11), programming (#17), web-dev (#10)",to-read,,,,0,,,0,,,,,
10217366,PHP Jquery Cookbook,Vijay  Joshi,"Joshi, Vijay",,"=""1849512744""","=""9781849512749""",0,3.89,Packt Publishing,Paperback,332,2010,2010,,2016/09/13,"to-read, programming, web-dev","to-read (#10), programming (#18), web-dev (#11)",to-read,,,,0,,,0,,,,,
9663373,Wordpress 3.0 Jquery,Tessa Blakeley Silver,"Silver, Tessa Blakeley",,"=""1849511748""","=""9781849511742""",0,4.00,Packt Publishing,Paperback,316,2010,2010,,2016/09/13,"to-read, programming, web-dev","to-read (#9), programming (#26), web-dev (#14)",to-read,,,,0,,,0,,,,,
18471822,Html5 Data and Services Cookbook,Gorgi Kosev,"Kosev, Gorgi",Mite Mitreski,"=""1783559284""","=""9781783559282""",0,4.50,Packt Publishing,Paperback,480,2013,2013,,2016/09/13,"to-read, programming, web-dev","to-read (#8), programming (#7), web-dev (#3)",to-read,,,,0,,,0,,,,,
32177576,The Essential Guide To Processing For Flash Developers,Ira Greenberg,"Greenberg, Ira",,"=""""","=""""",2,2.67,friends of ED,ebook,504,2009,2009,2016/10/31,2016/09/13,programming,programming (#29),read,the screenshots were poorly compressed<br/>the book was too programming heavy,,,1,,,0,,,,,
23278468,Thinking in HTML,Aravind Shenoy,"Shenoy, Aravind",,"=""""","=""""",0,3.82,Packt Publishing,Kindle Edition,57,2014,2014,,2016/09/13,"to-read, programming, web-dev","to-read (#7), programming (#24), web-dev (#12)",to-read,,,,0,,,0,,,,,
17138263,Getting Started with Raspberry Pi,Matt Richardson,"Richardson, Matt",Shawn Wallace,"=""1449344232""","=""9781449344238""",0,3.77,"Maker Media, Inc",ebook,176,2012,2012,,2016/09/13,"to-read, programming","to-read (#6), programming (#5)",to-read,,,,0,,,0,,,,,
12404631,Machine Learning in Action,Peter Harrington,"Harrington, Peter",,"=""1617290181""","=""9781617290183""",0,3.68,Manning Publications,Paperback,384,2012,2011,,2016/09/13,"to-read, programming","to-read (#5), programming (#14)",to-read,,,,0,,,0,,,,,
9362621,Beginning Openvpn 2.0.9,Markus Feilner,"Feilner, Markus",Norbert Graf,"=""184719706X""","=""9781847197061""",0,4.00,Packt Publishing,Paperback,356,2009,2009,,2016/09/13,"to-read, networking","to-read (#4), networking (#1)",to-read,,,,0,,,0,,,,,
22038730,Thinking in JavaScript,Aravind Shenoy,"Shenoy, Aravind",,"=""""","=""""",0,3.31,Packt Publishing,Kindle Edition,39,2014,2014,,2016/09/13,"to-read, programming, web-dev","to-read (#3), programming (#25), web-dev (#13)",to-read,,,,0,,,0,,,,,
9002756,Building Websites with E107: A Step by Step Tutorial to Getting Your E107 Website Up and Running Fast,Tad Boomer,"Boomer, Tad",,"=""1904811310""","=""9781904811312""",0,0.0,Packt Publishing,Paperback,260,2007,2007,,2016/09/13,"to-read, web-dev","to-read (#2), web-dev (#1)",to-read,,,,0,,,0,,,,,
1156210,Processing: Creative Coding and Computational Art,Ira Greenberg,"Greenberg, Ira",,"=""159059617X""","=""9781590596173""",0,3.77,Friends of ED,Hardcover,810,2007,2007,,2016/09/13,"to-read, programming","to-read (#1), programming (#21)",to-read,,,,0,,,0,,,,,
9840982,Generative Art,Matt Pearson,"Pearson, Matt",,"=""1935182625""","=""9781935182627""",4,4.01,Manning Publications,Paperback,240,2011,2011,2016/09/22,2016/09/13,paper,paper (#20),read,,,,1,,,0,,,,,
9214112,Zero Configuration Networking: The Definitive Guide,Daniel H. Steinberg,"Steinberg, Daniel H.",Stuart Cheshire,"=""144939079X""","=""9781449390792""",2,3.72,O'Reilly Media,ebook,254,2005,2005,,2016/09/13,"networking, paper","networking (#9), paper (#11)",read,,,,1,,,0,,,,,
22358633,3D Printing with Sketchup,Marcus Ritland,"Ritland, Marcus",,"=""1783284579""","=""9781783284573""",0,4.67,Packt Publishing,Paperback,136,2014,2014,,2016/09/13,3d-modelling,3d-modelling (#3),read,,,,1,,,0,,,,,
7147817,After the Software Wars,Keith Cary Curtis,"Curtis, Keith Cary",,"=""0578011891""","=""9780578011899""",4,3.26,Keithcu Press,Paperback,304,2009,2008,,2016/09/13,,,read,,,,1,,,0,,,,,
15842789,Asterisk: The Definitive Guide,Russell Bryant,"Bryant, Russell","Leif Madsen, Jim Van Meggelen","=""1449332420""","=""9781449332426""",2,3.83,O'Reilly Media,Paperback,846,2013,2011,,2016/09/13,,,read,,,,1,,,0,,,,,
18961294,Blender 3D Printing Essentials,Gordon C. Fisher,"Fisher, Gordon C.",,"=""1783284595""","=""9781783284597""",0,4.29,Packt Publishing,Paperback,114,2013,2013,,2016/09/13,3d-modelling,3d-modelling (#5),read,,,,1,,,0,,,,,
11022487,"Building Wireless Sensor Networks: With Zigbee, Xbee, Arduino, and Processing",Robert Faludi,"Faludi, Robert",,"=""1449302742""","=""9781449302740""",2,3.79,O'Reilly Media,ebook,322,2010,2010,,2016/09/13,"networking, paper","networking (#4), paper (#10)",read,,,,1,,,0,,,,,
11712744,Coders At Work: Bedeutende Programmierer Und Ihre Erfolgsgeschichten,Peter Seibel,"Seibel, Peter",,"=""3826691032""","=""9783826691034""",3,3.93,mitp,,560,2011,2009,,2016/09/13,,,read,,,,1,,,0,,,,,
21865202,"Digital Asset Management: Content Architectures, Project Management, and Creating Order Out of Media Chaos",Elizabeth Keathley,"Keathley, Elizabeth",,"=""1430263768""","=""9781430263760""",3,4.12,Apress,Paperback,196,2014,2014,,2016/09/13,,,read,,,,1,,,0,,,,,
72012,The Future of Ideas: The Fate of the Commons in a Connected World,Lawrence Lessig,"Lessig, Lawrence",,"=""0375726446""","=""9780375726446""",4,3.96,Vintage,Paperback,384,2002,2001,,2016/09/13,,,read,,,,1,,,0,,,,,
9659875,Free Culture: How Big Media Uses Technology and the Law to Lock Down Cultuivity,Lawrence Lessig,"Lessig, Lawrence",,"=""1101200847""","=""9781101200841""",4,4.12,Penguin Press,,368,2004,2004,,2016/09/13,,,read,,,,1,,,0,,,,,
2968778,On the Way to the Web: The Secret History of the Internet and Its Founders,Michael A. Banks,"Banks, Michael A.",,"=""1430208694""","=""9781430208693""",4,3.42,Apress,Hardcover,218,2008,2008,,2016/09/13,"networking, computer-history","networking (#7), computer-history (#10)",read,,,,1,,,0,,,,,
17063535,Pro Html5 Games,Aditya Ravi Shankar,"Shankar, Aditya Ravi",,"=""143024710X""","=""9781430247104""",4,3.58,Apress,Paperback,364,2012,2012,,2016/09/13,"programming, web-dev, game-dev","programming (#32), web-dev (#19), game-dev (#4)",read,,,,1,,,0,,,,,
6964307,Remix: Making Art and Commerce Thrive in the Hybrid Economy,Lawrence Lessig,"Lessig, Lawrence",,"=""0143116134""","=""9780143116134""",4,3.83,Penguin Books,Paperback,352,2009,2008,,2016/09/13,,,read,,,,1,,,0,,,,,
9683775,The War of the Worlds,H.G. Wells,"Wells, H.G.",,"=""1936594056""","=""9781936594054""",3,3.80,Tribeca Books,Paperback,140,2010,1897,,2016/09/13,,,read,,,,1,,,0,,,,,
18702020,Learning Three.Js: The JavaScript 3D Library for Webgl,Jos Dirksen,"Dirksen, Jos",,"=""1782166289""","=""9781782166283""",3,4.05,Packt Publishing,Paperback,402,2013,2013,,2016/09/13,"programming, web-dev","programming (#30), web-dev (#17)",read,,,,1,,,0,,,,,
22790490,Three.Js Essentials,Jos Dirksen,"Dirksen, Jos",,"=""1783980869""","=""9781783980864""",3,3.25,Packt Publishing,Paperback,198,2014,2014,,2016/09/13,"programming, web-dev","programming (#33), web-dev (#20)",read,,,,1,,,0,,,,,
33635334,Space 1889,Frank Chadwick,"Chadwick, Frank",,"=""""","=""""",4,3.63,,ebook,,,1988,,2016/09/13,"rpg, currently-reading","rpg (#9), currently-reading (#1)",currently-reading,,,,1,,,0,,,,,
15902545,Webgl Beginner's Guide,Diego Cantor,"Cantor, Diego",Brandon  Jones,"=""184969172X""","=""9781849691727""",2,4.22,Packt Publishing,Paperback,376,2012,2012,,2016/09/13,"programming, web-dev","programming (#34), web-dev (#21)",read,,,,1,,,0,,,,,
61182,The Hacker Crackdown: Law and Disorder on the Electronic Frontier,Bruce Sterling,"Sterling, Bruce",,"=""055356370X""","=""9780553563702""",3,3.81,Bantam,Paperback,336,1993,1992,,2016/09/13,computer-history,computer-history (#4),read,,,,1,,,0,,,,,
28152384,Creating Blogs with Jekyll,Vikram Dhillon,"Dhillon, Vikram",,"=""148421465X""","=""9781484214657""",3,3.50,Apress,Paperback,345,2016,,,2016/09/13,"programming, web-dev","programming (#28), web-dev (#16)",read,,,,1,,,0,,,,,
8865430,Hackers: Heroes of the Computer Revolution,Steven Levy,"Levy, Steven",,"=""1449388388""","=""9781449388386""",4,4.15,O'Reilly Media,ebook,,2010,1984,2016/12/18,2016/09/13,"computer-history, audio","computer-history (#9), audio (#1)",read,,,,1,,,0,,,,,
